RAh,RAm,RAs,e_RAs,DEd,DEm,DEs,eDEs,GLON,GLAT,Si,e_Si,Pk,e_Pk,m,e_m,RM,e_RM
0,5,16.03,0.05,42,46,10.8,0.6,113.9783,-19.298,59,1.8,3.81,0.21,6.85,0.38,-23.5,11.1
0,5,16.12,0.05,55,17,21.3,0.6,116.3403,-6.9906,205.1,6.2,4.98,0.29,2.44,0.14,-28,13.2
0,5,17.52,0.04,36,46,33.8,0.6,112.7362,-25.1804,92.1,3.3,7.97,0.28,9.14,0.32,-73.7,7.1
0,5,19.39,0.03,14,23,2.4,0.6,106.4393,-47.0057,224.5,6.7,15.05,0.26,7.12,0.12,-28.9,3.9
0,5,20.18,0.04,20,15,43.5,0.7,108.4813,-41.3125,36.2,1.2,3.44,0.24,9.69,0.68,-42.1,15.3
0,5,24.1,0.03,17,34,24,0.6,107.6188,-43.9254,162.9,5.3,9.25,0.25,7.56,0.2,-24.1,6.3
0,5,40.19,0.03,19,50,55,0.6,108.4523,-41.7328,410.1,14,37.19,0.26,9.72,0.07,-19.9,1.5
0,5,41.41,0.04,-25,38,53.6,0.6,38.576,-79.6522,86.1,2.6,4.3,0.29,5.2,0.35,-18.5,14.9
0,5,42.85,0.1,72,30,20.4,0.6,119.4642,9.9424,128.3,4.5,19.65,0.54,16.1,0.44,-32.9,5.4
0,5,43.37,0.06,57,8,43.4,0.6,116.7355,-5.1754,211.2,6.4,4.5,0.32,2.23,0.16,-32.1,17.3
0,5,47.76,0.03,-19,39,9.7,0.6,66.0664,-77.1446,166,5.8,6.71,0.3,4.57,0.2,7.7,9.9
0,5,49.99,0.04,33,10,49.2,0.6,112.0569,-28.7266,113.6,4,5.91,0.28,5.58,0.26,-52.9,10
0,5,52.99,0.04,-35,22,2.5,0.6,-10.1574,-77.262,229.9,8.2,7.23,0.27,3.39,0.13,-18.7,8
0,5,55.23,0.03,28,48,37.2,0.6,111.0348,-33.0077,215.6,7.5,18.29,0.29,9.44,0.15,-78.7,2.9
0,5,55.47,0.05,48,32,20.1,0.6,115.2067,-13.649,299.8,10.4,5.56,0.28,2.07,0.1,-57.3,11
0,5,55.71,0.04,31,39,48.8,0.6,111.7278,-30.2162,783.7,23.5,16.08,0.31,2.15,0.04,-33,4.2
0,5,58.68,0.03,-27,59,0.6,0.6,25.4602,-79.8917,308.2,10.5,5.59,0.28,2.1,0.11,15.1,10.6
0,5,59.41,0.03,16,9,46.7,0.6,107.3192,-45.3266,804.4,27,14.25,0.25,2.1,0.04,-28.5,4.6
0,6,4.07,0.04,-5,15,59.8,0.6,94.6173,-65.6129,100.5,3.4,5.01,0.28,8.19,0.46,13,14.5
0,6,4.52,0.03,18,8,45.3,0.6,108.0267,-43.4091,325.4,10.6,9.84,0.24,3.98,0.1,-22.7,5.7
0,6,6.25,0.04,47,25,39.6,0.6,115.03,-14.7474,300.4,10.6,32.41,0.33,11.33,0.12,-31.9,2.1
0,6,8.14,0.03,-1,6,19.1,0.6,98.3821,-61.7985,72.1,2.6,4.33,0.3,6.15,0.43,4.1,14.1
0,6,8.29,0.05,50,50,3.4,0.6,115.6635,-11.3971,172,5.2,10.73,0.32,6.71,0.2,42.7,6.1
0,6,9.68,0.05,48,22,33.3,0.6,115.2162,-13.8164,481.4,16.4,19.94,0.31,4.87,0.08,1.7,4.9
0,6,10.5,0.03,18,31,17.7,0.6,108.1819,-43.0501,81.5,3,3.15,0.24,4.07,0.31,-6.1,16.2
0,6,12.62,0.03,6,39,32.5,0.6,103.3459,-54.4838,119.5,3.6,6.26,0.27,5.42,0.23,11,9.5
0,6,13.87,0.03,-6,23,35.2,0.6,93.5053,-66.6465,2050.7,61.5,61.84,0.32,3.19,0.02,12,1.2
0,6,15.24,0.04,44,4,40.4,0.6,114.421,-18.0459,205.8,7.3,4.42,0.2,2.4,0.11,-28.7,9.4
0,6,15.44,0.03,17,12,41.9,0.6,107.7711,-44.326,88.6,3.2,6.74,0.26,7.8,0.3,-31.8,8.6
0,6,18.26,0.05,41,5,5.2,0.6,113.8435,-20.9892,54.7,1.7,3.54,0.25,6.77,0.48,-48,14.7
0,6,19.79,0.03,17,12,42.3,0.6,107.7946,-44.3302,90.1,3.3,5.9,0.28,6.85,0.33,-33.1,10
0,6,22.6,0.03,0,4,25.1,0.6,99.2806,-60.8593,3897.6,116.9,26.17,0.35,0.71,0.01,22.5,3.3
